age,player_seasons,unique_players,avg_OPS,avg_next_OPS,avg_delta_next_OPS,median_delta_next_OPS,avg_launch_speed,avg_hard_hit_rate,avg_estimated_woba,avg_estimated_slg
30.0,190,190,0.7661533212390423,0.730753047872112,-0.035400273366930475,-0.0382276836218538,84.02973534327751,0.2770875811573858,0.3294646939165966,0.5832359439023701
31.0,181,181,0.7436882070988066,0.7188795326845002,-0.02480867441430644,-0.030635862599704744,83.64693086800524,0.25845150044952386,0.31734318919916504,0.5465968391531422
32.0,155,155,0.7382131050202451,0.7177805840741039,-0.020432520946141158,-0.016063551964246248,83.7740811029324,0.258764225554118,0.3181659037657022,0.5357454998289887
33.0,113,113,0.7491585462623287,0.7285045283837924,-0.020654017878536286,-0.016439930183134166,84.11428184659155,0.27084041247635315,0.33138584605075033,0.5553307665587357
34.0,87,87,0.743063145232951,0.7230028010798503,-0.020060344153100707,-0.0357610303032857,83.75945798295537,0.26399679843032425,0.3294982563388159,0.5463366036487508
35.0,55,55,0.7474525547422448,0.7084356391562787,-0.03901691558596599,-0.028017250310649056,84.32853969093556,0.2690211759817884,0.3277313892473223,0.5382125314113642
36.0,30,30,0.732337789373061,0.7358012257198984,0.003463436346837397,0.003400664642715323,85.08725004415759,0.29025472758279247,0.33548136866758776,0.5741961748053851
37.0,23,23,0.7532246852879527,0.6855383063582223,-0.06768637892973045,-0.048565573420451424,83.82159796762303,0.25630134071739036,0.32727170316577786,0.5453579197885415
38.0,13,13,0.7623098192520004,0.7386229480932497,-0.02368687115875067,0.01276106952999323,84.41582494318267,0.2806772463610667,0.3265190810251725,0.5313751506395231
39.0,7,7,0.7218835343609797,0.6599921347895642,-0.06189139957141565,-0.06327643449849996,83.55446829060428,0.22605277925922973,0.3109432416307839,0.501063634370786
40.0,2,2,0.877538212592732,0.8095474448276371,-0.067990767765095,-0.067990767765095,91.81853741496599,0.4846938775510204,0.3999272510060362,0.8060738966318235
41.0,2,2,0.7740349192617795,0.7728817894992569,-0.001153129762522631,-0.001153129762522631,86.75794639298525,0.32557791948983655,0.3730612996047602,0.6638842592592593
42.0,2,2,0.6055976517936469,0.705617042327662,0.1000193905340151,0.1000193905340151,84.4484242258153,0.2459577966566182,0.3272127229431361,0.5166674054373522
43.0,1,1,0.7297379492118201,0.6493896624070188,-0.08034828680480133,-0.08034828680480133,80.57012987012986,0.1558441558441558,0.3117303906249999,0.4118333333333333
